group,score
场景 A,49.57591
场景 A,49.06562
场景 A,44.7967
场景 A,56.01509
场景 A,53.91042
场景 A,51.6944
场景 A,46.24015
场景 A,52.8267
场景 A,50.06582
场景 A,51.44109
场景 A,45.69182
场景 A,54.9316
场景 A,54.86638
场景 A,57.66671
场景 A,55.69585
场景 A,52.6392
场景 A,50.29901
场景 A,50.1245
场景 A,48.84612
场景 A,52.05225
场景 A,48.10892
场景 A,51.84536
场景 A,55.85517
场景 A,57.39319
场景 A,53.71383
场景 A,52.47171
场景 A,54.27944
场景 A,50.71559
场景 A,50.00391
场景 A,49.82488
场景 A,55.09613
场景 A,52.53455
场景 A,54.08901
场景 A,51.78805
场景 A,53.97438
场景 B,45.8473
场景 B,42.11358
场景 B,58.37389
场景 B,45.91827
场景 B,56.16629
场景 B,38.69835
场景 B,38.32642
场景 B,48.07857
场景 B,50.27081
场景 B,36.29048
场景 B,52.9897
场景 B,43.13252
场景 B,51.50189
场景 B,55.25583
场景 B,50.38242
场景 B,42.51345
场景 B,40.72214
场景 B,43.29313
场景 B,40.0348
场景 B,51.92661
场景 B,48.34303
场景 B,49.74136
场景 B,45.89181
场景 B,42.1337
场景 B,40.50591
场景 B,52.5327
场景 B,37.69984
场景 B,41.00793
场景 B,44.72661
场景 B,42.34302
场景 B,48.77199
场景 B,47.80317
场景 B,49.65726
场景 B,42.09666
场景 B,41.09954
场景 B,40.83719
场景 B,51.91391
场景 B,50.25488
场景 B,52.01765
场景 B,48.94339
场景 B,42.09173
场景 B,46.73763
场景 B,46.57411
场景 B,32.85475
场景 B,38.67053
场景 B,44.51419
场景 B,46.9065
场景 B,43.0402
场景 B,41.2236
场景 B,45.47055
场景 B,45.78082
场景 B,50.29463
场景 B,58.68647
场景 B,41.55317
场景 B,37.0277
场景 B,50.38269
场景 B,36.69576
场景 B,48.16166
场景 B,54.82132
场景 B,39.22313
场景 B,47.24593
场景 B,36.36316
场景 B,48.03459
场景 B,41.22417
场景 B,62.1938
场景 B,50.25018
场景 B,48.40059
场景 B,45.09047
场景 B,42.13535
场景 B,37.88823
场景 B,41.51587
场景 B,45.19577
场景 B,37.51509
场景 B,52.95089
场景 B,48.40775
场景 B,45.34664
场景 B,53.45013
场景 B,42.60846
场景 B,50.38164
场景 B,47.35461
场景 B,47.41812
场景 B,51.58918
场景 B,39.80817
场景 B,46.74464
场景 B,42.93267
场景 B,42.02468
场景 B,46.69808
场景 B,45.54713
场景 B,38.80494
场景 B,48.95081
场景 B,46.51086
场景 B,49.60761
场景 B,35.15004
场景 B,42.45667
场景 B,52.3558
场景 B,42.41332
场景 B,51.48005
场景 B,30.30228
场景 B,37.45134
场景 B,44.42376
场景 B,41.45016
场景 B,38.76278
场景 B,38.14401
场景 B,44.1414
场景 B,36.64542
场景 B,42.83506
场景 B,52.69993
场景 B,42.6236
场景 B,48.56849
场景 B,43.36454
场景 B,45.80964
场景 B,34.5711
场景 B,39.11395
场景 B,44.7285
场景 B,45.83421
场景 B,47.38963
场景 B,49.65914
场景 B,54.62667
场景 B,45.25279
场景 B,48.11161
场景 B,47.67962
场景 B,47.90357
场景 B,42.5076
场景 B,38.74434
场景 B,50.31661
场景 B,43.39448
场景 B,40.14255
场景 B,45.98435
场景 B,44.67139
场景 B,51.48463
场景 B,52.61286
场景 B,56.02058
场景 B,52.36405
场景 B,41.78046
场景 B,52.83041
场景 B,49.63555
场景 B,35.28065
场景 B,49.08636
场景 B,51.17697
场景 B,43.70406
场景 B,36.18274
场景 B,46.06422
场景 B,44.17167
场景 B,36.03836
场景 B,43.80748
场景 B,47.01446
场景 B,55.29397
场景 B,41.27953
场景 B,39.14176
场景 B,41.27865
场景 B,44.97542
场景 B,45.4994
场景 B,44.75824
场景 B,43.20356
场景 B,42.24221
场景 B,34.53791
场景 B,47.9544
场景 B,51.84372
场景 B,34.47221
场景 B,35.18185
场景 B,33.34918
场景 B,53.19715
场景 B,55.41673
场景 B,38.27614
场景 B,54.23602
场景 B,43.84811
场景 B,32.36391
场景 B,43.48478
场景 B,49.30698
场景 B,61.38503
场景 B,58.53218
场景 B,47.0272
场景 B,48.82365
场景 B,56.00023
场景 B,43.30512
场景 B,59.02945
场景 B,53.20696
场景 B,59.33748
场景 B,63.72594
场景 B,57.10924
场景 B,59.98418
场景 B,60.82784
场景 B,64.34971
场景 B,60.95228
场景 B,58.86066
场景 B,54.84043
场景 B,55.42629
场景 B,64.45275
场景 B,48.29771
场景 B,68.50108
场景 B,51.10236
场景 B,51.55173
场景 B,60.21954
场景 B,55.97145
场景 B,53.28432
场景 B,58.91047
场景 B,52.82526
场景 B,53.5901
场景 B,56.44248
场景 B,51.61059
场景 B,59.53492
场景 B,56.52817
场景 B,57.1401
场景 B,60.76929
场景 B,63.37309
场景 B,61.23131
场景 B,59.64793
场景 B,50.50094
场景 B,60.78758
场景 B,54.71851
场景 B,52.45556
场景 B,62.4806
场景 B,60.35269
场景 B,60.50783
场景 B,55.26266
场景 B,53.32865
场景 B,54.49718
场景 B,61.80175
场景 B,55.10365
场景 B,57.75224
场景 B,64.04397
场景 B,52.67692
场景 B,53.57703
场景 B,48.34303
场景 B,61.65645
场景 B,61.93853
场景 B,58.46218
场景 B,65.61162
场景 B,55.38152
场景 B,50.03731
场景 B,56.96874
场景 B,59.16247
场景 B,48.56497
场景 B,58.51949
场景 B,51.40512
场景 B,57.84731
场景 B,59.5111
场景 B,56.82393
场景 B,50.1175
场景 B,46.83255
场景 C,61.85515
场景 C,48.24193
场景 C,45.17556
场景 C,53.20672
场景 C,50.19075
场景 C,56.98286
场景 C,51.25908
场景 C,60.32129
场景 C,43.07403
场景 C,47.10027
场景 C,36.78229
场景 C,47.49886
场景 C,60.49596
场景 C,51.60616
场景 C,50.53571
场景 C,51.67215
场景 C,52.59987
场景 C,62.30626
场景 C,53.73664
场景 C,49.49253
场景 C,41.72457
场景 C,45.49634
场景 C,33.27535
场景 C,49.17125
场景 C,51.76543
场景 C,50.33034
场景 C,40.33123
场景 C,45.19042
场景 C,50.10125
场景 C,63.89553
场景 C,52.21842
场景 C,51.8736
场景 C,51.43991
场景 C,43.38484
场景 C,65.21541
场景 C,47.00102
场景 C,50.84708
场景 C,64.26043
场景 C,46.96083
场景 C,43.98483
场景 C,44.12949
场景 C,60.79065
场景 C,46.30286
场景 C,35.09732
场景 C,49.25849
场景 C,50.4671
场景 C,52.65288
场景 C,50.23033
场景 C,54.13043
场景 C,52.08148
场景 C,47.78455
场景 C,47.69958
场景 C,44.00024
场景 C,68.39473
场景 C,57.75853
场景 C,51.24411
场景 C,47.66842
场景 C,45.90892
场景 C,42.44626
场景 C,43.46375
场景 C,45.45557
场景 C,51.02414
场景 C,50.78266
场景 C,52.06947
场景 C,59.87587
场景 C,45.99564
场景 C,50.27495
场景 C,53.74188
场景 C,53.98353
场景 C,42.36564
场景 C,48.51947
场景 C,57.70679
场景 C,60.64465
场景 C,47.89524
场景 C,55.31809
场景 C,46.96202
场景 C,43.92579
场景 C,53.50217
场景 C,38.7635
场景 C,62.74615
场景 C,65.8303
场景 C,56.25732
场景 C,46.60536
场景 C,58.62826
场景 C,52.22952
场景 C,57.45444
场景 C,54.73401
场景 C,62.07945
场景 C,52.17015
场景 C,58.26697
场景 C,56.43669
场景 C,53.04677
场景 C,59.70153
场景 C,56.27792
场景 C,57.45406
场景 C,49.90899
场景 C,56.0389
场景 C,47.5648
场景 C,51.96932
场景 C,53.60031
场景 C,67.10462
场景 C,43.24318
场景 C,54.06426
场景 C,56.17966
场景 C,50.13433
场景 C,59.32572
场景 C,61.53393
场景 C,50.31311
场景 C,52.34257
场景 C,47.67939
场景 C,55.3543
场景 C,58.06032
场景 C,53.55401
场景 C,42.51595
场景 C,47.71921
场景 C,38.34947
场景 C,58.74416
场景 C,59.09576
场景 C,53.82406
场景 C,63.50336
场景 C,48.04293
场景 C,56.65042
场景 C,58.47236
场景 C,46.61818
场景 C,65.89765
场景 C,62.1937
场景 C,53.8821
场景 C,48.52861
场景 C,39.59641
场景 C,56.85798
场景 C,61.29803
场景 C,55.70924
场景 C,59.71259
场景 C,63.93085
场景 C,45.4333
场景 C,45.27151
场景 C,51.22003
场景 C,47.61771
场景 C,55.3829
场景 C,57.55129
场景 C,50.04383
场景 C,52.39132
场景 C,55.28064
场景 C,61.16757
场景 C,64.02997
场景 C,52.74321
场景 C,35.15778
场景 C,42.21329
场景 C,48.03461
场景 C,48.95372
场景 C,50.92064
场景 C,53.40208
场景 C,54.16615
场景 C,42.76006
场景 C,51.6316
场景 C,45.0331
场景 C,51.71095
场景 C,43.24799
场景 C,40.79559
场景 C,50.73672
场景 C,43.77397
场景 C,54.52179
场景 C,61.72044
场景 C,62.96784
场景 C,40.1811
场景 C,41.57112
场景 C,52.66196
场景 C,54.81908
场景 C,53.14923
场景 C,45.80623
场景 C,63.92108
场景 C,58.63858
场景 C,63.90617
场景 C,60.27907
场景 C,65.74462
场景 C,63.82363
场景 C,56.00308
场景 C,68.17389
场景 C,65.78645
场景 C,55.46388
场景 C,61.21213
场景 C,62.52317
场景 C,62.21674
场景 C,61.05107
场景 C,65.42666
场景 C,62.99859
场景 C,65.57729
场景 C,59.41622
场景 C,67.57211
场景 C,58.22483
场景 C,55.73592
场景 C,59.90299
场景 C,64.43438
场景 C,56.29106
场景 C,62.07352
场景 C,56.31558
场景 C,63.94606
场景 C,62.4751
场景 C,59.8849
场景 C,55.26747
场景 C,62.21035
场景 C,60.45223
场景 C,60.70361
场景 C,59.9404
场景 C,62.21366
场景 C,62.78849
场景 C,68.01292
场景 C,58.98234
场景 C,65.59788
场景 C,59.90908
场景 C,64.73339
场景 C,63.79102
场景 C,59.73274
场景 C,67.13916
场景 C,62.43484
场景 C,60.77583
场景 C,56.6126
场景 C,60.39401
场景 C,69.9148
场景 C,62.08886
场景 C,65.34003
场景 C,62.59135
场景 C,62.29082
场景 C,67.06968
场景 C,62.63613
场景 C,65.23911
场景 C,66.84351
场景 C,63.26394
场景 C,65.8353
场景 C,61.68383
场景 C,60.3056
场景 C,62.74798
场景 C,63.09677
场景 C,62.44978
场景 C,60.23606
场景 C,59.46963
场景 C,61.70856
场景 C,57.11301
场景 C,62.05026
场景 C,59.74433
场景 D,60.11661
场景 D,63.37126
场景 D,65.3993
场景 D,57.45319
场景 D,60.18112
场景 D,51.68719
场景 D,61.57518
场景 D,57.80829
场景 D,57.79148
场景 D,55.62273
场景 D,57.09118
场景 D,64.11054
场景 D,56.70559
场景 D,49.29337
场景 D,57.2955
场景 D,48.76613
场景 D,44.84329
场景 D,59.01495
场景 D,52.73089
场景 D,58.79507
场景 D,44.53592
场景 D,60.70803
场景 D,54.5988
场景 D,53.57812
场景 D,58.23783
场景 D,59.65458
场景 D,52.24667
场景 D,54.48989
场景 D,49.90631
场景 D,59.32608
场景 D,52.29759
场景 D,55.29744
场景 D,57.25385
场景 D,56.09935
场景 D,57.33692
场景 D,62.92424
场景 D,55.27965
场景 D,50.4367
场景 D,57.29999
场景 D,43.76025
场景 D,61.20267
场景 D,64.14184
场景 D,57.79862
场景 D,57.98543
场景 D,54.77146
场景 D,61.58021
场景 D,55.11645
场景 D,55.68039
场景 D,60.02403
场景 D,61.28033
场景 D,57.28906
场景 D,68.9374
场景 D,55.68023
场景 D,54.41116
场景 D,60.13245
场景 D,61.24481
场景 D,53.21002
场景 D,53.57133
场景 D,51.75211
场景 D,47.06704
场景 D,61.92497
场景 D,52.93577
场景 D,56.27814
场景 D,60.99862
场景 D,51.85595
场景 D,52.18911
场景 D,51.66792
场景 D,53.64708
场景 D,55.96362
场景 D,66.86825
场景 D,54.53892
场景 D,52.61709
场景 D,62.15485
场景 D,56.59019
场景 D,69.10396
场景 D,57.73758
场景 D,47.99671
场景 D,54.02463
场景 D,52.40691
场景 D,56.25303
场景 D,61.23342
场景 D,61.79974
场景 D,66.59606
场景 D,67.52539
场景 D,55.26586
场景 D,55.23047
场景 D,60.8331
场景 D,58.09288
场景 D,59.40369
场景 D,58.48615
场景 D,51.81466
场景 D,57.53777
场景 D,64.41685
场景 D,51.08546
场景 D,53.56699
场景 D,59.2702
场景 D,59.25944
场景 D,59.56886
场景 D,60.34959
场景 D,64.8254
场景 D,47.19892
场景 D,59.49101
场景 D,57.60147
场景 D,58.42677
场景 D,58.42275
场景 D,49.45312
场景 D,61.05987
场景 D,55.10612
场景 D,59.58949
场景 D,52.00149
场景 D,60.19345
场景 D,46.78712
场景 D,71.44803
场景 D,51.85579
场景 D,66.65587
场景 D,54.23552
场景 D,63.48237
场景 D,56.18925
场景 D,60.47509
场景 D,53.83277
场景 D,55.65043
场景 D,52.08495
场景 D,60.10592
场景 D,59.85083
场景 D,60.66073
场景 D,55.54569
场景 D,62.10115
场景 D,51.09623
场景 D,50.31174
场景 D,52.45266
场景 D,58.203
场景 D,55.41016
场景 D,41.30646
场景 D,62.29008
场景 D,62.69688
场景 D,60.27057
场景 D,47.67275
场景 D,59.86977
场景 D,56.82898
场景 D,51.38894
场景 D,59.13399
场景 D,62.3245
场景 D,63.53177
场景 D,66.04472
场景 D,59.02142
场景 D,62.60307
场景 D,57.4112
场景 D,53.93626
场景 D,59.06017
场景 D,55.08409
场景 D,56.02089
场景 D,57.54774
场景 D,57.53878
场景 D,50.28756
场景 D,56.17257
场景 D,55.09242
场景 D,59.9002
场景 D,56.79149
场景 D,59.78766
场景 D,54.94856
场景 D,48.36659
场景 D,58.17248
场景 D,50.78492
场景 D,66.05871
场景 D,59.48545
场景 D,69.39648
场景 D,62.99929
场景 D,58.57824
场景 D,51.62787
场景 D,49.63222
场景 D,58.64227
场景 D,67.84879
场景 D,64.64852
场景 D,71.9746
场景 D,68.40924
场景 D,63.67813
场景 D,63.62838
场景 D,73.07176
场景 D,64.73411
场景 D,56.68028
场景 D,74.44173
场景 D,57.36937
场景 D,69.93584
场景 D,70.01248
场景 D,69.79441
场景 D,63.91006
场景 D,59.17279
场景 D,68.71302
场景 D,63.5152
场景 D,72.70935
场景 D,64.30155
场景 D,67.30859
场景 D,74.37298
场景 D,57.61178
场景 D,66.30615
场景 D,67.51994
场景 D,64.69278
场景 D,63.11408
场景 D,67.40641
场景 D,65.38305
场景 D,65.86455
场景 D,74.15298
场景 D,70.62841
场景 D,67.61046
场景 D,72.81486
场景 D,68.61421
场景 D,67.13461
场景 D,63.79359
场景 D,63.42268
场景 D,62.53835
场景 D,65.94862
场景 D,68.52728
场景 D,62.69108
场景 D,68.7273
场景 D,72.56682
场景 D,67.04855
场景 D,67.10817
场景 D,77.10331
场景 D,65.14647
场景 D,55.8816
场景 D,61.60055
场景 D,66.74418
场景 D,63.82652
场景 D,63.86469
场景 D,67.32706
场景 D,67.31689
场景 D,65.28732
场景 D,68.84424
场景 D,66.14274
场景 D,66.21728
场景 D,71.55414
场景 D,61.55016
场景 D,64.50833
场景 D,66.76787
场景 D,68.78076
场景 D,75.85306
场景 D,57.07572
场景 D,66.21563
场景 D,66.43918
场景 D,62.33709
场景 E,65.4786
场景 E,54.46497
场景 E,60.89651
场景 E,59.08774
场景 E,65.60722
场景 E,58.61087
场景 E,58.45943
场景 E,84.52849
场景 E,62.75893
场景 E,70.11772
场景 E,63.71431
场景 E,63.71667
场景 E,61.93694
场景 E,65.80549
场景 E,59.45782
场景 E,70.4816
场景 E,73.07717
场景 E,70.36691
场景 E,60.82415
场景 E,60.38228
场景 E,58.77017
场景 E,59.22796
场景 E,61.28472
场景 E,59.27904
场景 E,65.4097
场景 E,72.5885
场景 E,63.6875
场景 E,59.18807
场景 E,66.69228
场景 E,65.06486
场景 E,65.20772
场景 E,68.90557
场景 E,70.34994
场景 E,68.41509
场景 E,67.23668
场景 E,61.3279
场景 E,75.35
场景 E,68.8025
场景 E,59.49046
场景 E,56.09171
场景 E,46.24009
场景 E,68.96955
场景 E,61.46843
场景 E,65.29216
场景 E,63.12115
场景 E,62.66338
场景 E,62.76947
场景 E,65.69513
场景 E,68.00573
场景 E,53.55642
场景 E,59.42997
场景 E,65.35808
场景 E,63.93919
场景 E,51.08318
场景 E,60.68652
场景 E,68.44966
场景 E,68.19316
场景 E,67.62732
场景 E,57.53405
场景 E,60.10448
场景 E,81.23174
场景 E,60.76389
场景 E,63.93306
场景 E,70.72207
场景 E,67.74323
场景 E,56.48688
场景 E,57.90893
场景 E,62.6879
场景 E,60.94435
场景 E,77.71415
场景 E,50.92253
场景 E,62.93498
场景 E,72.89935
场景 E,55.53383
场景 E,55.49492
场景 E,67.04039
场景 E,56.43085
场景 E,61.38323
场景 E,45.62952
场景 E,50.12875
场景 E,63.94133
场景 E,59.43345
场景 E,70.77596
场景 E,51.18035
场景 E,51.5762
场景 E,65.13042
场景 E,56.33742
场景 E,66.06524
场景 E,59.24529
场景 E,71.46772
场景 E,60.70202
场景 E,63.22854
场景 E,62.60859
场景 E,59.86991
场景 E,67.68635
场景 E,63.41596
场景 E,60.98124
场景 E,63.51762
场景 E,70.45103
场景 E,66.22357
场景 E,63.85224
场景 E,48.82492
场景 E,68.16887
场景 E,59.16364
场景 E,70.11242
场景 E,59.56764
场景 E,68.43771
场景 E,59.93735
场景 E,60.35482
场景 E,70.08329
场景 E,69.94243
场景 E,58.90889
场景 E,64.38171
场景 E,54.40091
场景 E,62.54544
场景 E,61.83167
场景 E,59.1629
场景 E,60.30878
场景 E,52.1741
场景 E,66.79617
场景 E,57.11712
场景 E,66.7585
场景 E,66.50218
场景 E,68.12977
场景 E,67.22569
场景 E,62.2798
场景 E,60.63806
场景 E,67.27802
场景 E,73.13868
场景 E,62.97817
场景 E,63.96889
场景 E,70.65946
场景 E,63.57509
场景 E,63.69631
场景 E,64.49245
场景 E,57.5816
场景 E,62.82736
场景 E,65.71923
场景 E,73.83119
场景 E,58.99851
场景 E,60.21546
场景 E,60.81252
场景 E,65.81999
场景 E,60.92367
场景 E,55.0864
场景 E,62.62489
场景 E,59.49569
场景 E,52.55999
场景 E,64.80607
场景 E,64.5133
场景 E,60.28173
场景 E,60.95269
场景 E,58.52613
场景 E,69.05455
场景 E,59.19404
场景 E,72.7423
场景 E,62.48333
场景 E,54.75994
场景 E,63.33132
场景 E,63.51309
场景 E,66.6828
场景 E,69.86542
场景 E,68.98263
场景 E,56.20996
场景 E,64.81974
场景 E,62.08797
场景 E,62.66936
场景 E,54.10299
场景 E,64.10331
场景 E,65.55229
场景 E,73.28175
场景 E,73.50966
场景 E,75.32006
场景 E,64.83546
场景 E,73.09647
场景 E,73.57952
场景 E,77.18692
场景 E,67.32917
场景 E,73.57535
场景 E,64.04128
场景 E,70.31599
场景 E,69.63646
场景 E,75.11784
场景 E,72.47412
场景 E,67.77678
场景 E,73.71876
场景 E,74.48822
场景 E,69.48618
场景 E,63.0483
场景 E,73.09358
场景 E,76.15431
场景 E,72.47285
场景 E,73.37858
场景 E,68.21217
场景 E,75.69745
场景 E,72.75768
场景 E,78.30753
场景 E,75.24299
场景 E,73.97452
场景 E,69.53832
场景 E,68.75006
场景 E,73.71577
场景 E,68.47697
场景 E,66.02362
场景 E,74.33685
场景 E,75.19036
场景 E,74.34145
场景 E,69.78797
场景 E,75.94523
场景 E,67.22501
场景 E,69.1069
场景 E,67.8702
场景 E,70.59333
场景 E,76.31039
场景 E,69.99454
场景 E,77.59121
场景 E,69.13874
场景 E,75.78966
场景 E,67.58402
场景 E,71.23183
场景 E,68.47282
场景 E,71.84002
场景 E,75.87231
场景 E,64.90804
场景 E,76.73419
场景 E,72.10203
场景 E,74.69607
场景 E,72.06781
场景 E,69.64863
场景 E,66.69578
场景 E,69.62915
场景 E,74.00515
场景 E,68.76894
场景 E,61.92956
场景 E,75.01033
场景 E,70.88457
场景 E,72.32385
场景 E,68.85652
场景 E,70.28198
场景 E,73.64343
场景 F,63.13693
场景 F,74.1881
场景 F,80.01535
场景 F,77.62089
场景 F,60.72458
场景 F,70.69233
场景 F,78.76631
场景 F,63.19465
场景 F,56.09479
场景 F,77.34858
场景 F,70.22635
场景 F,80.48394
场景 F,63.35136
场景 F,75.02368
场景 F,74.0487
场景 F,64.10491
场景 F,61.65921
场景 F,80.37471
场景 F,69.92901
场景 F,68.58875
场景 F,77.31004
场景 F,65.44947
场景 F,70.90064
场景 F,74.94477
场景 F,69.15225
场景 F,69.3808
场景 F,65.26459
场景 F,76.54672
场景 F,74.08165
场景 F,66.50325
场景 F,62.01812
场景 F,72.64725
场景 F,76.34366
场景 F,68.93876
场景 F,68.08608
场景 F,67.85748
场景 F,59.95131
场景 F,75.3292
场景 F,77.28426
场景 F,64.44314
场景 F,63.31577
场景 F,69.51364
场景 F,65.02465
场景 F,77.5771
场景 F,76.05231
场景 F,65.74832
场景 F,63.38486
场景 F,71.86972
场景 F,68.34037
场景 F,69.48781
场景 F,71.3148
场景 F,69.85958
场景 F,62.83223
场景 F,66.08296
场景 F,57.0687
场景 F,65.91081
场景 F,70.33603
场景 F,73.48034
场景 F,62.26581
场景 F,71.5136
场景 F,82.41223
场景 F,61.89182
场景 F,62.87122
场景 F,53.88815
场景 F,65.97565
场景 F,64.72012
场景 F,72.84191
场景 F,67.51083
场景 F,72.95718
场景 F,72.8141
场景 F,64.83678
场景 F,78.68981
场景 F,66.95814
场景 F,62.71042
场景 F,79.3437
场景 F,80.2065
场景 F,80.09328
场景 F,73.76915
场景 F,76.79729
场景 F,69.80541
场景 F,74.988
场景 F,64.35483
场景 F,63.75254
场景 F,66.07643
场景 F,68.33428
场景 F,68.14589
场景 F,86.64697
场景 F,72.22568
场景 F,75.79081
场景 F,87.67024
场景 F,84.63046
场景 F,68.53596
场景 F,76.99817
场景 F,70.08489
场景 F,68.63506
场景 F,66.10765
场景 F,73.0958
场景 F,71.34958
场景 F,85.61993
场景 F,67.64362
场景 F,72.14648
场景 F,76.24968
场景 F,69.71301
场景 F,62.21438
场景 F,72.98261
场景 F,74.50217
场景 F,76.37023
场景 F,71.98554
场景 F,64.3995
场景 F,68.2781
场景 F,67.28716
场景 F,64.45214
场景 F,64.69357
场景 F,80.32138
场景 F,60.60738
场景 F,78.11896
场景 F,59.4756
场景 F,71.38288
场景 F,75.42388
场景 F,69.16888
场景 F,71.31921
场景 F,70.71366
场景 F,74.90024
场景 F,73.12307
场景 F,53.4383
场景 F,69.33588
场景 F,70.47574
场景 F,69.29913
场景 F,77.78642
场景 F,59.08959
场景 F,72.09084
场景 F,67.33517
场景 F,68.64936
场景 F,74.67428
场景 F,70.25509
场景 F,63.33361
场景 F,86.41691
场景 F,85.79385
场景 F,78.52416
场景 F,64.38439
场景 F,51.73574
场景 F,72.33997
场景 F,63.17093
场景 F,68.74938
场景 F,71.77018
场景 F,71.25325
场景 F,69.81749
场景 F,60.0552
场景 F,66.58183
场景 F,78.34434
场景 F,68.72562
场景 F,76.05676
场景 F,65.05642
场景 F,78.02588
场景 F,71.81365
场景 F,76.60214
场景 F,79.41402
场景 F,80.06327
场景 F,61.25247
场景 F,68.51808
场景 F,69.8447
场景 F,67.61675
场景 F,61.69513
场景 F,75.92825
场景 F,82.34154
场景 F,77.16772
场景 F,66.49541
场景 F,77.73023
场景 F,80.54155
场景 F,61.98644
场景 F,73.9033
场景 F,70.40874
场景 F,81.7124
场景 F,78.7685
场景 F,64.65788
场景 F,65.38608
场景 F,87.4781
场景 F,72.97539
场景 F,79.80867
场景 F,73.06706
场景 F,69.77928
场景 F,75.47908
场景 F,76.41442
场景 F,76.99806
场景 F,83.55738
场景 F,81.18234
场景 F,70.15733
场景 F,70.26627
场景 F,75.92806
场景 F,69.39964
场景 F,77.58806
场景 F,74.0289
场景 F,74.89325
场景 F,75.88737
场景 F,77.01065
场景 F,76.15847
场景 F,79.91975
场景 F,68.9812
场景 F,75.45472
场景 F,83.06386
